gene,RF_importance,GB_importance,L1_importance,ensemble_score,ml_rank
CEMIP,0.015,1.760230567128996e-05,0.16738870539624098,0.613679713790662,1
TEAD4,0.015,4.781255959275609e-07,0.01253435970049392,0.4622550435351022,2
AXIN2,0.0,0.09958629399643891,0.2045734038394824,0.387368774471643,3
PLP1,0.005,0.12245804939742172,0.0,0.3804013305345343,4
TBX3,0.0,0.18602460840682244,0.0,0.35,5
AAK1,0.01,0.0,0.022923579327618956,0.3224111041781422,6
TGIF1,0.01,0.00010999455466195205,0.0,0.30020695162033345,7
DHRS11,0.01,3.190314544061289e-05,0.0,0.3000600248590756,8
FAM129A,0.01,1.5955551262921995e-08,0.0,0.3000000300199151,9
SLC4A4,0.01,1.7679079129362982e-09,0.0,0.3000000033262684,10
AQP8,0.01,7.943709333162556e-10,0.0,0.30000000149458633,11
TACSTD2,0.01,4.359596362274166e-10,0.0,0.3000000008202457,12
MIR1292,0.01,0.0,0.0,0.30000000000000004,13
RCAN2,0.01,0.0,0.0,0.30000000000000004,14
EDN3,0.01,0.0,0.0,0.30000000000000004,15
PPP2R3A,0.01,0.0,0.0,0.30000000000000004,16
WDR77,0.01,0.0,0.0,0.30000000000000004,17
TCF21,0.01,0.0,0.0,0.30000000000000004,18
SCNN1B,0.01,0.0,0.0,0.30000000000000004,19
TMEM171,0.01,0.0,0.0,0.30000000000000004,20
FAM107A,0.01,0.0,0.0,0.30000000000000004,21
KLK11,0.01,0.0,0.0,0.30000000000000004,22
KLF9,0.009696394686907021,0.0,0.0,0.2908918406072107,23
DDR2,0.0,0.15079112342035356,0.0,0.28370920196592736,24
CDKN2B,0.005,0.05385725862602935,0.0,0.25133089745785997,25
FOXQ1,0.005,0.0,0.0921386786880982,0.24007884403233026,26
PPA1,0.005,0.04685719958793541,0.0,0.23816048584234475,27
ADAMDEC1,0.005,0.0,0.05935186136313848,0.20802500251666017,28
CHGA,0.005,0.029278485940366306,0.0,0.20508663701480684,29
SLC12A2,0.005,1.1789948019494603e-07,0.04280638088648439,0.1918496314575186,30
HAPLN1,0.0,0.03585913181516623,0.12719012138844973,0.19181461810682726,31
PAG1,0.005,0.0,0.04000526163957093,0.18911091167154936,32
WASF3,0.005,0.0195370505506037,0.0,0.18675840390835363,33
NOB1,0.005,0.0,0.036619233800549794,0.18580058122245738,34
SPIB,0.005,0.0,0.030852019147529428,0.18016229731577166,35
CAMK2N1,0.005,0.015965506229816354,0.0,0.18003864503891515,36
RMND5A,0.005,0.0,0.027462028732910482,0.1768480928776631,37
GPX3,0.005,0.01066830696647413,0.0,0.1700721155670983,38
PYY,0.005,5.272431574940733e-06,0.01822714484518546,0.1678295822153809,39
GPSM2,0.005,0.0,0.017368586812022226,0.1669802980114174,40
ABCA8,0.0,0.0,0.16404465635482804,0.16037730543266998,41
GTF2IRD1,0.005,0.0,0.009733062732616931,0.1595154722460931,42
GTF3A,0.005304761904761904,0.0,0.0,0.1591428571428571,43
CXCL12,0.005,0.0,0.0069852302474305425,0.1568290697777229,44
BCHE,0.005,0.003259703866306167,0.0,0.1561330399401358,45
CP,0.005,0.0,0.006159369247597338,0.15602167156824578,46
TMEM127,0.005,0.002612998954519893,0.0,0.15491628307627942,47
HPGD,0.0,0.08107213171400367,0.0,0.15253490569294284,48
MAOA,0.005,0.0009588701879438844,0.0,0.15180408693588765,49
WIPF1,0.005,0.0007847734290911437,0.0,0.15147652884494303,50
MET,0.005,0.0,0.0013059592565749204,0.15127676348153218,51
MYLK,0.005,0.0,0.0006999832213179622,0.15068433453047222,52
GART,0.005,0.00010602412649508922,0.0,0.1501994813728737,53
RETSAT,0.005,8.67595599467827e-05,0.0,0.15016323563985132,54
UCHL3,0.005,1.2997489123629375e-06,0.0,0.15000244544054267,55
CADPS,0.005,1.7588693306898214e-07,0.0,0.15000033092625276,56
NR3C2,0.005,6.470392770179318e-08,0.0,0.15000012173859628,57
CDC25B,0.005,8.756558401181924e-09,0.0,0.15000001647521513,58
WDR75,0.005,4.805687404382684e-09,0.0,0.15000000904176394,59
CCT6A,0.005,3.9345610082307755e-09,0.0,0.15000000740276445,60
STXBP6,0.005,2.637411581539285e-09,0.0,0.15000000496221477,61
GPM6B,0.005,1.1850630490056993e-09,0.0,0.1500000022296624,62
FUT8,0.005,0.0,0.0,0.15000000000000002,63
C1orf106,0.005,0.0,0.0,0.15000000000000002,64
UGT1A6,0.005,0.0,0.0,0.15000000000000002,65
EIF3B,0.005,0.0,0.0,0.15000000000000002,66
YPEL5,0.005,0.0,0.0,0.15000000000000002,67
IDS,0.005,0.0,0.0,0.15000000000000002,68
ZEB2,0.005,0.0,0.0,0.15000000000000002,69
ZNF667-AS1,0.005,0.0,0.0,0.15000000000000002,70
TIMM50,0.005,0.0,0.0,0.15000000000000002,71
C10orf54,0.005,0.0,0.0,0.15000000000000002,72
C2orf88,0.005,0.0,0.0,0.15000000000000002,73
KEAP1,0.005,0.0,0.0,0.15000000000000002,74
DPY30,0.005,0.0,0.0,0.15000000000000002,75
DCAF13,0.005,0.0,0.0,0.15000000000000002,76
AJUBA,0.005,0.0,0.0,0.15000000000000002,77
CPSF3,0.005,0.0,0.0,0.15000000000000002,78
GLTP,0.005,0.0,0.0,0.15000000000000002,79
GCAT,0.005,0.0,0.0,0.15000000000000002,80
CDC45,0.005,0.0,0.0,0.15000000000000002,81
CCNB1IP1,0.005,0.0,0.0,0.15000000000000002,82
IL10RA,0.005,0.0,0.0,0.15000000000000002,83
ABCA5,0.005,0.0,0.0,0.15000000000000002,84
GPT2,0.005,0.0,0.0,0.15000000000000002,85
ENAH,0.005,0.0,0.0,0.15000000000000002,86
ASUN,0.005,0.0,0.0,0.15000000000000002,87
CD36,0.005,0.0,0.0,0.15000000000000002,88
CNN1,0.005,0.0,0.0,0.15000000000000002,89
EPB41L2,0.005,0.0,0.0,0.15000000000000002,90
EPB41L3,0.005,0.0,0.0,0.15000000000000002,91
CLDN23,0.005,0.0,0.0,0.15000000000000002,92
BMP5,0.005,0.0,0.0,0.15000000000000002,93
CFAP97,0.005,0.0,0.0,0.15000000000000002,94
HHLA2,0.005,0.0,0.0,0.15000000000000002,95
CNNM4,0.005,0.0,0.0,0.15000000000000002,96
JAM2,0.005,0.0,0.0,0.15000000000000002,97
FERMT1,0.005,0.0,0.0,0.15000000000000002,98
FBXO32,0.005,0.0,0.0,0.15000000000000002,99
GFRA3,0.005,0.0,0.0,0.15000000000000002,100
