gene,gene,log2FC,pvalue,adj_pvalue,regulation,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
GRK5,GRK5,-1.350903791666667,5.279235888490564e-38,1.1484977675411222e-33,Downregulated,7.237567333333335,8.588471125000002,32.93986984465312,Transcriptional Driver
SPOCK2,SPOCK2,-1.8856525000000008,4.892287822730779e-37,5.321586079175405e-33,Downregulated,7.866286916666667,9.751939416666668,32.27395890853717,Transcriptional Driver
CA4,CA4,-3.186077333333337,1.8253910598086045e-35,1.3237127502045398e-31,Downregulated,6.587073916666668,9.773151250000005,30.8782062479294,Transcriptional Driver
NCKAP5,NCKAP5,-3.105128999999999,1.1823280154331452e-34,6.430386493937018e-31,Downregulated,4.1730875,7.278216499999999,30.191762923321544,Transcriptional Driver
AGER,AGER,-3.930266833333328,2.6870652322685778e-34,1.1691420825600583e-30,Downregulated,7.382924250000003,11.313191083333331,29.932132707039873,Transcriptional Driver
KANK3,KANK3,-2.0143558333333367,1.4945959052363012e-33,5.419155653069289e-30,Downregulated,6.648047833333331,8.662403666666668,29.266068374675328,Transcriptional Driver
SGCG,SGCG,-2.080493166666665,7.258083905757577e-33,2.2557087909965156e-29,Downregulated,5.484928333333335,7.5654215,28.646716967909672,Transcriptional Driver
GPM6A,GPM6A,-2.693704222222226,1.1592605008081774e-32,3.1524640243852376e-29,Downregulated,5.638627777777775,8.332332000000001,28.501349860853257,Transcriptional Driver
ACVRL1,ACVRL1,-1.5617807499999996,1.6530377374683254e-32,3.99575955318038e-29,Downregulated,7.688170583333334,9.249951333333334,28.398400653546354,Transcriptional Driver
CCBE1,CCBE1,-1.9048297777777803,2.623330782185947e-32,5.707056116645528e-29,Downregulated,5.922650388888888,7.8274801666666685,28.243587857076122,Transcriptional Driver
RTKN2,RTKN2,-1.9467224999999981,4.9069015233194826e-32,9.70451296725594e-29,Downregulated,4.234484833333335,6.181207333333333,28.01302625532361,Transcriptional Driver
FRMD3,FRMD3,-1.773328277777778,5.462182896962946e-32,9.902482410285741e-29,Downregulated,5.948110722222221,7.721438999999999,28.004255920357412,Transcriptional Driver
SPTBN1,SPTBN1,-0.9465055757575769,6.941628554143999e-32,1.1616548399646362e-28,Not Significant,6.5133585151515145,7.459864090909091,27.934922893775656,Not Significant
IGSF10,IGSF10,-2.3671230833333334,2.8076445039870727e-31,4.362879013159912e-28,Downregulated,6.269229999999998,8.636353083333331,27.360226830250763,Transcriptional Driver
PCAT19,PCAT19,-1.9868266666666674,3.6454980467159364e-31,5.28718733375368e-28,Downregulated,7.144081666666667,9.130908333333334,27.276775301553627,Transcriptional Driver
