Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
GO_Biological_Process_2023,Cell Junction Assembly (GO:0034329),4/95,9.305240181747405e-05,0.0192996468311453,0,0,18.976588628762546,176.14729500931637,CDH5;GPM6A;BDNF;SPOCK2
GO_Biological_Process_2023,Negative Regulation Of Endothelial Cell Proliferation (GO:0001937),3/37,0.00010758892051640564,0.0192996468311453,0,0,37.3892365456821,341.6326661301949,CAV2;CAV1;MMRN2
GO_Biological_Process_2023,Negative Regulation Of Epithelial Cell Apoptotic Process (GO:1904036),3/38,0.00011660554961914327,0.0192996468311453,0,0,36.319148936170215,328.93213337279053,CDH5;WFS1;TEK
GO_Biological_Process_2023,Venous Blood Vessel Development (GO:0060841),2/7,0.00012760097078443218,0.0192996468311453,0,0,166.20833333333334,1490.3240703269437,ACVRL1;CCBE1
KEGG_2021_Human,Fluid shear stress and atherosclerosis,4/139,0.0004015254683124459,0.0305159355917458,0,0,12.76328502415459,99.81194689133622,CDH5;THBD;CAV2;CAV1
GO_Biological_Process_2023,Receptor-Mediated Endocytosis Of Virus By Host Cell (GO:0019065),2/10,0.00027212309342677823,0.0329268943046401,0,0,103.86458333333331,852.6509585567859,CAV2;CAV1
GO_Biological_Process_2023,Regulation Of Focal Adhesion Assembly (GO:0051893),3/54,0.0003333415993294188,0.0336119445990497,0,0,24.90488110137672,199.39701474295643,ACVRL1;TEK;GPM6B
GO_Biological_Process_2023,Intracellular Calcium Ion Homeostasis (GO:0006874),4/139,0.0004015254683124459,0.0347032726184328,0,0,12.76328502415459,99.81194689133622,CDH5;CAV2;WFS1;CAV1
KEGG_2021_Human,Bacterial invasion of epithelial cells,3/77,0.0009441676964961806,0.0358783724668548,0,0,17.14433582518689,119.41384383677423,ARHGEF26;CAV2;CAV1
GO_Biological_Process_2023,Positive Regulation Of Cell Junction Assembly (GO:1901890),3/61,0.0004777604359734098,0.0361306329704891,0,0,21.891415994130597,167.39054801840658,BDNF;CAV1;TEK
KEGG_2021_Human,Ras signaling pathway,4/232,0.0026752089635542,0.0406631762460239,0,0,7.521739130434782,44.556735074481445,BDNF;TEK;EFNA4;GNG11
KEGG_2021_Human,Protein digestion and absorption,3/103,0.002181029234164,0.0406631762460239,0,0,12.670212765957446,77.64253659479164,COL11A1;COL10A1;COL6A6
KEGG_2021_Human,PI3K-Akt signaling pathway,5/354,0.0018621488147273,0.0406631762460239,0,0,6.240369309137217,39.22711237773203,BDNF;COL6A6;TEK;EFNA4;GNG11
GO_Biological_Process_2023,Vasculature Development (GO:0001944),2/16,0.0007187392304892979,0.0451040118269619,0,0,59.333333333333336,429.45537567816734,ACVRL1;CDH5
GO_Biological_Process_2023,Synapse Assembly (GO:0007416),3/71,0.0007455208566439991,0.0451040118269619,0,0,18.66270337922403,134.39810435842293,GPM6A;BDNF;SPOCK2
GO_Biological_Process_2023,Extracellular Matrix Organization (GO:0030198),4/176,0.0009733818874053012,0.0452996955292467,0,0,9.998988877654195,69.34032881835857,COL11A1;SPOCK2;COL10A1;GPM6B
GO_Biological_Process_2023,Regulation Of Establishment Or Maintenance Of Cell Polarity (GO:0032878),2/18,0.000913470506242016,0.0452996955292467,0,0,51.911458333333336,363.2898548418271,CDH5;TEK
GO_Biological_Process_2023,Heart Trabecula Morphogenesis (GO:0061384),2/18,0.000913470506242016,0.0452996955292467,0,0,51.911458333333336,363.2898548418271,S1PR1;TEK
GO_Biological_Process_2023,Neuron Projection Development (GO:0031175),4/192,0.0013426972995517,0.0580237047306312,0,0,9.140610545790937,60.44754105675969,GPM6A;BDNF;AGER;GPM6B
GO_Biological_Process_2023,Regulation Of Endothelial Cell Proliferation (GO:0001936),3/93,0.0016286129467617,0.0656873888527257,0,0,14.085106382978724,90.42675735150269,CAV2;CAV1;TEK
GO_Biological_Process_2023,Negative Regulation Of Endothelial Cell Apoptotic Process (GO:2000352),2/26,0.0019157650058532,0.0658059866876605,0,0,34.59375,216.47517339281177,CDH5;TEK
GO_Biological_Process_2023,Extracellular Structure Organization (GO:0043062),3/109,0.0025619933727431,0.0658059866876605,0,0,11.94941790445604,71.30181411758254,COL11A1;SPOCK2;COL10A1
GO_Biological_Process_2023,External Encapsulating Structure Organization (GO:0045229),3/110,0.0026292225152408,0.0658059866876605,0,0,11.83714456154305,70.32527008978302,COL11A1;SPOCK2;COL10A1
GO_Biological_Process_2023,Negative Regulation Of Protein Polymerization (GO:0032272),2/26,0.0019157650058532,0.0658059866876605,0,0,34.59375,216.47517339281177,CDH5;KANK3
GO_Biological_Process_2023,Cardiac Muscle Tissue Morphogenesis (GO:0055008),2/31,0.0027192556482504,0.0658059866876605,0,0,28.62212643678161,169.08226656127547,TNNC1;S1PR1
GO_Biological_Process_2023,Calcium Ion Homeostasis (GO:0055074),3/102,0.0021212129826486,0.0658059866876605,0,0,12.798839458413926,78.78667603753651,CDH5;WFS1;CAV1
GO_Biological_Process_2023,Regulation Of Muscle Contraction (GO:0006937),2/29,0.0023818121959682,0.0658059866876605,0,0,30.74537037037037,185.6987673947897,CAV1;TNNC1
GO_Biological_Process_2023,Regulation Of Blood Coagulation (GO:0030193),2/29,0.0023818121959682,0.0658059866876605,0,0,30.74537037037037,185.6987673947897,THBD;CAV1
GO_Biological_Process_2023,Positive Regulation Of Protein Phosphorylation (GO:0001934),5/377,0.0024480438502573,0.0658059866876605,0,0,5.847670250896058,35.15891857328301,ACVRL1;BDNF;CAV1;TEK;AGER
GO_Biological_Process_2023,Regulation Of Protein Localization To Cell Surface (GO:2000008),2/31,0.0027192556482504,0.0658059866876605,0,0,28.62212643678161,169.08226656127547,BDNF;GPM6B
