gene,RF_importance,GB_importance,L1_importance,ensemble_score,ml_rank
SPOCK2,0.023248814052379593,0.8711111111111113,0.2483568462701671,0.8884121246159846,1
GRK5,0.016142714120722688,0.0,0.13432113876738958,0.36027231615499944,2
COL10A1,0.005563105744761492,0.0012734294948946894,0.561816260719664,0.30819015271303696,3
DENND3,0.011282187695510829,0.0,0.10405055284368163,0.2554168387122515,4
EXOSC7,0.012293792273833905,0.0,0.0,0.23795650439464106,5
RTKN2,0.008992262908780265,0.0,0.16794418778247092,0.23383883765078717,6
GPIHBP1,0.011200347856808577,0.0,0.0,0.21679198449470943,7
GOLM1,0.005464867507947966,0.0,0.18911472822422679,0.17309965007923528,8
CA4,0.008560050200423107,0.0,0.0,0.1656868424131996,9
AGER,0.00809300110144211,0.0,0.009561897207310127,0.16005064457658533,10
ARHGEF26,0.00826287335408025,0.0,0.0,0.15993473907782116,11
SERTM1,0.00760809845864546,0.0,0.030403603077106243,0.15808435624957104,12
CDH5,0.00811501077896305,0.0,0.0,0.1570727367987875,13
IGSF10,0.007813527950953742,0.0,0.0,0.15123728763142225,14
DPP6,0.007768900155530448,0.0,0.002134680903377818,0.15113340115418514,15
CAV2,0.007758364114212752,0.0,0.0,0.15016954600479485,16
PCAT6,0.007658057734744015,0.0,0.0,0.14822803317496894,17
OCIAD2,0.007538033229899588,0.0,0.0,0.1459048597409045,18
HSPA12B,0.007514967522283198,0.0,0.0,0.14545840391722292,19
GGCT,0.007503761696492718,0.0,0.0,0.14524150590279714,20
SGCG,0.006234656481884635,0.0,0.06237826299053187,0.14288285623675687,21
FAM83A,0.007366269800714861,0.0,0.0,0.14258023668877873,22
ALDH18A1,0.00733402572653088,0.0,0.0,0.1419561259986549,23
JTB,0.007266654521689688,0.0,0.0,0.14065210067890171,24
KLF6,0.007164610257152997,0.0,0.0,0.13867694964805544,25
CREB3L4,0.0069906436779759865,0.0,0.0,0.13530968280798014,26
ABCC3,0.006692302005708176,0.0,0.0,0.12953503330465319,27
COL11A1,0.006510037058700402,0.007733137773202155,0.0,0.12911420898446052,28
WFS1,0.0065787939802821336,0.0,0.0,0.12733799171248253,29
GCNT3,0.0036357040816612928,0.0,0.1507053503010791,0.12402139294872906,30
COL24A1,0.005942341056611123,0.0,0.0,0.1150189196511427,31
TNNC1,0.005211141703222837,0.0,0.015297146965237613,0.10631155709922856,32
EFNA4,0.004997371037485196,0.0,0.015143969150268694,0.10211931977904344,33
KANK3,0.0052712358206309816,0.0,0.0,0.10202912346151068,34
ARRB1,0.004215766706777607,0.0,0.056406325063921146,0.10167963712881453,35
MIR6872,0.0051907314593835595,0.0,0.0,0.10047089505124766,36
MASP1,0.0038622210017041914,0.0,0.06559495508420989,0.09810751249649372,37
BDNF,0.004966310548758248,0.0,0.0,0.09612704294963675,38
NCKAP5,0.003928671328671329,0.0,0.048482974880770004,0.0933020491961863,39
PCAT19,0.004649154796024406,0.0,0.0,0.08998823137805807,40
SPTBN1,0.004642330022682253,0.0,0.0,0.08985613225261238,41
C10orf54,0.0039060755142626487,0.0,0.03863422964860966,0.08935865074422591,42
ARHGEF19,0.004591075353526598,0.0,0.0,0.08886405579365493,43
ARHGAP31,0.004503406023965501,0.0,0.0,0.08716714350326413,44
PLAC9,0.004501644135915236,0.0,0.0,0.08713304070469413,45
CDCA7,0.0043940101342347885,0.0,0.0,0.08504969569418838,46
MMRN2,0.004388947789169764,0.0,0.0,0.08495170982384985,47
SFTPC,0.004361279673381958,0.0,0.0,0.0844161705883232,48
CCDC102B,0.004359034840298744,0.0,0.0,0.08437271998971758,49
SEC13,0.004339285714285714,0.0,0.0,0.08399045934253614,50
KCNT2,0.0043253667541047315,0.0,0.0,0.08372104637087531,51
SH3GL3,0.0037336780866192632,0.0,0.028972152962529855,0.08258217014199148,52
SLC50A1,0.004217120414699646,0.0,0.0,0.08162584905790514,53
HIGD1B,0.004211918685602896,0.0,0.0,0.08152516529449838,54
STARD13,0.004203556624371104,0.0,0.0,0.08136331069211615,55
RMI2,0.004193569033050869,0.0,0.0,0.08116999261214958,56
S1PR1,0.004193569033050869,0.0,0.0,0.08116999261214958,57
FBXO32,0.004187111342053602,0.0,0.0,0.081044998668707,58
PLPP2,0.00361804491392923,0.0,0.029709901345581026,0.08060662434137908,59
ANOS1,0.004068080357142857,0.0,0.0,0.07874105563362764,60
THBD,0.004068080357142857,0.0,0.0,0.07874105563362764,61
CCBE1,0.0040644490644490645,0.0,0.0,0.07867076896401409,62
TEK,0.004062991186781371,0.0,0.0,0.07864255053751784,63
FLJ30901,0.004052518671539806,0.0,0.0,0.07843984635449643,64
