fpr,tpr
0.0,0.0
0.0,0.021739130434782608
0.0,0.2608695652173913
0.0,0.30434782608695654
0.0,0.45652173913043476
0.0,0.5
0.0,0.5869565217391305
0.022222222222222223,0.6304347826086957
0.022222222222222223,0.6739130434782609
0.044444444444444446,0.6739130434782609
0.044444444444444446,0.7608695652173914
0.06666666666666667,0.7608695652173914
0.06666666666666667,0.782608695652174
0.06666666666666667,0.8260869565217391
0.1111111111111111,0.8260869565217391
0.15555555555555556,0.8260869565217391
0.2,0.8260869565217391
0.2,0.8478260869565217
0.24444444444444444,0.8478260869565217
0.3111111111111111,0.8695652173913043
0.4,0.8695652173913043
0.4666666666666667,0.8695652173913043
0.4888888888888889,0.8913043478260869
0.5333333333333333,0.8913043478260869
0.5555555555555556,0.8913043478260869
0.5555555555555556,0.9130434782608695
0.5777777777777777,0.9130434782608695
0.6222222222222222,0.9565217391304348
0.7333333333333333,0.9565217391304348
0.8,0.9565217391304348
0.8888888888888888,0.9565217391304348
0.9111111111111111,0.9782608695652174
1.0,0.9782608695652174
1.0,1.0
