outer_fold,n_train,n_test,n_selected_genes,selected_genes,fold_accuracy,fold_roc_auc
1,47,13,20,DEFB130;CCDC177;ZNF223;GOLGA7B;MDGA2;LIMS3;KLK9;CELF6;SOX7;FAM47E-STBD1;TK1;ABCA8;RNASE11;TMEM239;MUC3A;KRT222;HIST2H3C;ZNF709;ANK2;TLR9,1.0,1.0
2,49,11,20,ZNF223;DEFB130;FAM47E-STBD1;MDGA2;CCDC177;GOLGA7B;KLK9;RNASE11;SOX7;MUC3A;TK1;ZNF709;CRYBG3;SOGA3;ANK2;TLR9;SLC5A3;ABCA8;CELF6;SIGLEC5,1.0,1.0
3,48,12,20,DEFB130;ZNF223;FAM47E-STBD1;CCDC177;GOLGA7B;LCN6;KLK9;TLR9;MDGA2;SOX7;OC90;RNASE11;KRT222;SOGA3;MUC3A;ZNF709;MRPL30;SAC3D1;ABCA8;SLC5A3,1.0,1.0
4,48,12,20,DEFB130;FAM47E-STBD1;GOLGA7B;CCDC177;MDGA2;ZNF223;TK1;KLK9;TMEM236;LIMS3;TLR9;SOX7;RNASE11;HIST2H3A;SOGA3;MUC3A;PIK3R2;CRYBG3;HIST1H1B;ABCA8,1.0,1.0
5,48,12,20,DEFB130;FAM47E-STBD1;ZNF223;CCDC177;GOLGA7B;MDGA2;KLK9;TLR9;LIMS3;SOX7;RNASE11;SMG5;MUC3A;CRYBG3;HIST2H3C;ZNF709;TK1;ANK2;CELF6;HIST1H2BL,1.0,1.0
