gene,log2FC,adj_pvalue,regulation,ensemble_score,composite_score,ml_rank
MYOM1,-1.6636450569481234,4.0494788499486103e-11,Downregulated,0.5833866511739961,0.48829538156159086,1
CFD,-3.4328159011165873,2.0471371994791206e-10,Downregulated,0.3345723735752536,0.4785633097745513,9
KRT19,4.683268941636604,6.505691704360686e-12,Upregulated,0.08727591191826196,0.4523655471509572,89
PPP1R1A,-3.2003732765688593,3.6790502245204016e-13,Downregulated,0.2754590513820047,0.449275597369585,20
ANGPTL4,-2.1258659173100884,6.505691704360686e-12,Downregulated,0.41296840074127233,0.42935215615926586,4
PLIN1,-2.5095547133669704,2.945927894819594e-10,Downregulated,0.37640700008682637,0.4276667578183241,6
RGS1,1.6083659284096177,2.4542548036458632e-08,Upregulated,0.4907617758941244,0.4127411573406441,2
RBP4,-3.5408913758119223,3.439219169122891e-13,Downregulated,0.13403962775598838,0.39490471473798416,56
PCOLCE2,-2.5482773843802526,8.271607898980447e-12,Downregulated,0.29415184448737,0.3933923866803497,14
SAA2,-3.461586182736518,1.1459725459003907e-10,Downregulated,0.18360787599609946,0.39306811868732544,33
LEP,-3.0380611320111406,2.2632122049264642e-10,Downregulated,0.2424369432356275,0.3909103387200551,25
G0S2,-1.5075516404795177,5.9850759777373335e-09,Downregulated,0.45,0.3844108037543239,3
KRT18,2.6167589988183853,8.912735449926531e-10,Upregulated,0.2787877621785085,0.3735396465153808,18
COX7A1,-2.3840063137563696,3.3778472082176413e-09,Downregulated,0.3171326113790731,0.373370644341548,11
CD24,1.6318845388306187,2.6546183192725982e-11,Upregulated,0.3671124222064914,0.35678148851074226,7
GPD1,-2.2851031279086182,4.125017832971172e-09,Downregulated,0.27873171278130293,0.34201582651555984,19
MAOA,-1.9685526236683053,4.7054676527061624e-11,Downregulated,0.293905864158802,0.33956141395433015,15
ATP1B1,1.090304017712274,2.974933167186393e-08,Upregulated,0.39398152666608544,0.31620996309019056,5
ADIPOQ,-1.9713093618258117,1.2759197504471097e-09,Downregulated,0.2557779415947421,0.30780376850711144,22
ABCA8,-2.6991882173839397,4.4739343792856734e-08,Downregulated,0.17169717100980636,0.298689093629234,38
CD36,-1.909104426870945,1.760630644225351e-08,Downregulated,0.25693482419848324,0.29564573324199284,21
NAALAD2,-1.4116281198406417,1.985317529357898e-05,Downregulated,0.34724757282728264,0.29229293530375844,8
SLC38A1,1.7993381790589744,1.8729176245765096e-10,Upregulated,0.241044440470305,0.29046992588425613,26
HBA2,-2.203195741487052,2.9027280741782835e-09,Downregulated,0.1944311535980275,0.2863848719106197,29
AOC3,-1.8390633336834679,5.9850759777373335e-09,Downregulated,0.24462492340750883,0.2863447760738891,24
SPINT2,1.5080318662909225,1.2327776827525305e-07,Upregulated,0.2968326336124848,0.28463038942894364,13
C10orf10,-1.5756263121957312,4.077234998530787e-08,Downregulated,0.28048216903634887,0.28276964296807505,17
ACACB,-2.1025443046654004,8.271607898980447e-12,Downregulated,0.15752315596609728,0.2734757890579891,47
CHRDL1,-1.0939080108285122,1.4246115772954422e-07,Downregulated,0.3174187618111084,0.26742946907366677,10
GATA3,1.526986276562555,1.1570302277251356e-07,Upregulated,0.25112543354470346,0.258726364705781,23
EPCAM,2.3882132247592462,6.505691704360686e-12,Upregulated,0.09083511008230487,0.258479377312,83
KRT7,2.097315717440881,1.6732450822492974e-07,Upregulated,0.17570563048733148,0.2523705398596133,35
ADH1B,-1.9506460573627553,1.0927831792166383e-08,Downregulated,0.17612897574237457,0.2517991240381572,34
PCDH9,-1.7668095319371329,9.440891911528906e-13,Downregulated,0.1595554721606443,0.2506521700259695,44
WASF3,-1.0032249474304589,4.308564984718326e-08,Downregulated,0.2929926598381722,0.24858891042227566,16
TIMP4,-2.40996091596205,4.928607859918488e-09,Downregulated,0.10100275853375283,0.24424735759070834,74
HCAR3,-1.622052156894707,1.2029280206761655e-11,Downregulated,0.16641383222323622,0.23716127183595603,41
ARHGEF40,-1.6317599016014324,2.1605780427302894e-08,Downregulated,0.19425248764627964,0.2369132243974982,30
CCDC69,-2.3076320724727672,8.686203333266796e-08,Downregulated,0.10255000868266911,0.22604749010548633,72
CIDEC,-1.4163891439178897,3.6768271712573604e-11,Downregulated,0.1541395259857849,0.21037571477194006,48
HSPB2,-1.2398908644901656,9.90866007367952e-09,Downregulated,0.1907961887255796,0.20755768196794205,32
PDZD2,-1.5340216667266127,5.596444885900963e-09,Downregulated,0.14541758053529766,0.20383561057228497,50
MMD,-1.035629978786469,1.1220292786320826e-07,Downregulated,0.21161828994898108,0.20031261992791138,28
STX12,-1.0809845813281083,2.1605780427302894e-08,Downregulated,0.19414606634559511,0.196223130390608,31
TGFBR3,-1.6298720063216763,2.7322100537490768e-06,Downregulated,0.14957900459955606,0.19450212180558102,49
GYG2,-1.6714800442748228,3.6712758070017806e-11,Downregulated,0.09137850342180455,0.19395466156785843,82
HBB,-1.9440994887625642,2.6001022727820583e-08,Downregulated,0.0843457568933101,0.1933887542858572,94
CDKN2C,-1.6026739650113644,9.530440113595177e-08,Downregulated,0.1171425279413079,0.18427032203948002,62
ITGB1BP1,-1.494026876379829,2.079802014600747e-07,Downregulated,0.12936082760002504,0.18167085610624956,58
S100B,-1.5754057284674454,5.2204893052441044e-09,Downregulated,0.09946774227650729,0.17958625941387424,75
