gene,gene,log2FC,pvalue,adj_pvalue,regulation,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
G0S2,G0S2,-1.5075516404795177,1.7219479000155784e-11,5.9850759777373335e-09,Downregulated,10.459796238151592,11.96734787863111,8.222930332057466,Transcriptional Driver
ITGA7,ITGA7,-1.4404735364668646,1.9891976389957128e-11,6.682173914995598e-09,Downregulated,6.958364921774836,8.3988384582417,8.175082225294716,Transcriptional Driver
HSPB2,HSPB2,-1.2398908644901656,3.025314120656292e-11,9.90866007367952e-09,Downregulated,6.19994682208721,7.439837686577375,8.003985070232325,Transcriptional Driver
DPT,DPT,-2.2480530452414174,3.107451846596475e-11,9.92944552250254e-09,Downregulated,7.833181536516606,10.081234581758023,8.003075002586279,Transcriptional Driver
TNS1,TNS1,-1.154636649327582,3.457009250209897e-11,1.07833995683333e-08,Downregulated,9.684681842841654,10.839318492169236,7.967244302134728,Transcriptional Driver
ADH1B,ADH1B,-1.9506460573627553,3.6701366220542e-11,1.0927831792166383e-08,Downregulated,9.47884744642063,11.429493503783386,7.961465998535912,Transcriptional Driver
AKR1C1,AKR1C1,-1.6013385545432204,3.633563004466602e-11,1.0927831792166383e-08,Downregulated,10.163623995781279,11.7649625503245,7.961465998535912,Transcriptional Driver
RGCC,RGCC,-1.4156153922379637,4.2828071228958934e-11,1.2468679137124246e-08,Downregulated,9.085930504282468,10.501545896520431,7.9041795508391415,Transcriptional Driver
PLA2G16,PLA2G16,-2.0517440814508614,4.81963719525397e-11,1.3644937806052837e-08,Downregulated,8.03574527724993,10.087489358700791,7.8650284395140275,Transcriptional Driver
PDE2A,PDE2A,-1.2510736487527225,4.8951383626019645e-11,1.3644937806052837e-08,Downregulated,8.3271412928927,9.578214941645422,7.8650284395140275,Transcriptional Driver
FABP4,FABP4,-1.9237452263652735,5.866164577581495e-11,1.6010962943936492e-08,Downregulated,10.861270532115753,12.785015758481027,7.795582547614625,Transcriptional Driver
