Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
KEGG_2021_Human,PPAR signaling pathway,4/74,3.4954026436736424e-05,0.0016253622293082,0,0,24.695652173913043,253.41386407327417,ADIPOQ;CD36;ANGPTL4;PLIN1
KEGG_2021_Human,Adipocytokine signaling pathway,4/69,2.650437262169083e-05,0.0016253622293082,0,0,26.60200668896321,280.3372890754863,LEP;ADIPOQ;CD36;ACACB
KEGG_2021_Human,Tyrosine metabolism,3/36,9.903955378900077e-05,0.003070226167459,0,0,38.524177949709866,355.1925837792589,AOC3;ADH1B;MAOA
KEGG_2021_Human,AMPK signaling pathway,4/120,0.0002293410804448021,0.004933886957317,0,0,14.868065967016491,124.59885661717742,LEP;ADIPOQ;CD36;ACACB
KEGG_2021_Human,Malaria,3/50,0.00026526273964070014,0.004933886957317,0,0,27.02987777274785,222.5853605029436,HBB;HBA2;CD36
KEGG_2021_Human,Phenylalanine metabolism,2/17,0.0008132713373134499,0.0126057057283584,0,0,55.375,393.9624337310239,AOC3;MAOA
KEGG_2021_Human,Staphylococcus aureus infection,3/95,0.0017310874850999,0.0229987337306142,0,0,13.777520814061054,87.61133013502065,CFD;KRT19;KRT18
GO_Biological_Process_2023,Positive Regulation Of Metabolic Process (GO:0009893),4/108,0.0001529493133786741,0.0251983993791365,0,0,16.593645484949832,145.78187902919768,LEP;ADIPOQ;G0S2;CD36
GO_Biological_Process_2023,Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162),4/98,0.00010500420008966352,0.0251983993791365,0,0,18.368177613321,168.28024670225724,LEP;ADIPOQ;G0S2;CD36
GO_Biological_Process_2023,Regulation Of Signal Transduction (GO:0009966),5/193,0.000118344680417117,0.0251983993791365,0,0,11.67966903073286,105.60650652212236,ADIPOQ;ITGB1BP1;CD36;GATA3;CD24
GO_Biological_Process_2023,Response To Estrogen (GO:0043627),3/34,8.329713391830358e-05,0.0251983993791365,0,0,41.01372683596431,385.24589055488593,KRT19;GATA3;CD24
GO_Biological_Process_2023,Amine Metabolic Process (GO:0009308),2/9,0.00021804660985203623,0.0287385431784983,0,0,118.70833333333331,1000.8064198202924,AOC3;MAOA
GO_Biological_Process_2023,Cholesterol Transport (GO:0030301),3/51,0.00028134681783249164,0.0309012588252686,0,0,26.46542553191489,216.3792660274096,STX12;CD36;ABCA8
GO_Biological_Process_2023,Intestinal Absorption (GO:0050892),2/11,0.000332063883264561,0.0312614427244779,0,0,92.31944444444444,739.4956618223716,LEP;CD36
GO_Biological_Process_2023,Negative Regulation Of Locomotion (GO:0040013),2/12,0.0003978405023918532,0.0327721113845289,0,0,83.08333333333333,650.4975835514635,GATA3;SPINT2
GO_Biological_Process_2023,Regulation Of Cold-Induced Thermogenesis (GO:0120161),4/146,0.00048351422968316446,0.0354039863734672,0,0,12.129822412737294,92.6042778533321,LEP;ADIPOQ;G0S2;CD36
KEGG_2021_Human,African trypanosomiasis,2/37,0.0038576315924392,0.0448449672621059,0,0,23.70833333333333,131.76384828572083,HBB;HBA2
KEGG_2021_Human,"Glycine, serine and threonine metabolism",2/40,0.0044964248068071,0.0464630563370072,0,0,21.83333333333333,117.99765363023796,AOC3;MAOA
KEGG_2021_Human,Cholesterol metabolism,2/50,0.0069502994651568,0.0538648208549659,0,0,17.276041666666668,85.84414194819459,CD36;ANGPTL4
KEGG_2021_Human,Pyruvate metabolism,2/47,0.0061625935135597,0.0538648208549659,0,0,18.43055555555556,93.79784429037068,ADH1B;ACACB
KEGG_2021_Human,Non-alcoholic fatty liver disease,3/155,0.0068551228506196,0.0538648208549659,0,0,8.313829787234043,41.42581056937343,LEP;ADIPOQ;COX7A1
GO_Biological_Process_2023,Regulation Of Epithelial Cell Differentiation (GO:0030856),2/18,0.000913470506242016,0.0601977063613488,0,0,51.911458333333336,363.2898548418271,GATA3;CD24
GO_Biological_Process_2023,Positive Regulation Of Cholesterol Efflux (GO:0010875),2/22,0.001370383663162,0.0820984394567054,0,0,41.520833333333336,273.7329252658829,ADIPOQ;ABCA8
GO_Biological_Process_2023,Cholesterol Efflux (GO:0033344),2/23,0.0014985033958486,0.0822928114886906,0,0,39.54166666666666,257.15086234948103,STX12;ABCA8
GO_Biological_Process_2023,Positive Regulation Of Protein Kinase B Signaling (GO:0051897),3/93,0.0016286129467617,0.0825581486089249,0,0,14.085106382978724,90.42675735150269,LEP;ITGB1BP1;GATA3
GO_Biological_Process_2023,Positive Regulation Of Nitric Oxide Biosynthetic Process (GO:0045429),2/27,0.0020657293545543,0.0972368317608081,0,0,33.208333333333336,205.3029465636782,HBB;CD36
GO_Biological_Process_2023,Positive Regulation Of Nitric Oxide Metabolic Process (GO:1904407),2/28,0.0022210873543451,0.0975797711008948,0,0,31.92948717948718,195.08145262248803,HBB;CD36
GO_Biological_Process_2023,Regulation Of Macrophage Derived Foam Cell Differentiation (GO:0010743),2/30,0.0025478771667966,0.1049406908074361,0,0,29.64583333333333,177.0595839464994,ADIPOQ;CD36
GO_Biological_Process_2023,Positive Regulation Of Cholesterol Transport (GO:0032376),2/31,0.0027192556482504,0.1054111454233551,0,0,28.62212643678161,169.08226656127547,ADIPOQ;ABCA8
GO_Biological_Process_2023,Regulation Of Cholesterol Efflux (GO:0010874),2/32,0.0028959211173454,0.1060228897961465,0,0,27.666666666666668,161.69650653172428,ADIPOQ;ABCA8
