gene,gene,log2FC,pvalue,adj_pvalue,regulation,test_type,mean_tumor,mean_normal,neg_log10_pval,mechanistic_note
RNF149,RNF149,1.379384671982649,1.5627307937474238e-48,7.402879017237796e-46,Upregulated,welch_ttest,12.499865492458321,11.120480820475672,45.13059934808847,Transcriptional Driver
HRG,HRG,-5.729381168926318,2.8113389666066084e-48,1.294777779620488e-45,Downregulated,welch_ttest,5.166725719479327,10.896106888405646,44.88780476236725,Transcriptional Driver
PFKFB2,PFKFB2,-2.4109556916396695,3.8359290739370583e-48,1.718910920158822e-45,Downregulated,welch_ttest,8.11314310976846,10.52409880140813,44.764746629354775,Transcriptional Driver
PAG1,PAG1,2.245884183535452,1.0751172534324758e-47,4.690906332081697e-45,Upregulated,welch_ttest,10.316045997031033,8.07016181349558,44.32874323894928,Transcriptional Driver
PRLR,PRLR,-3.3502773639974484,2.2278716319025057e-47,9.471310681267576e-45,Downregulated,welch_ttest,7.7914879201438305,11.141765284141279,44.023589917273966,Transcriptional Driver
TMCC1,TMCC1,3.030991199760905,4.282819389410183e-47,1.775228636910521e-44,Upregulated,welch_ttest,11.868884427076777,8.837893227315872,43.75074570494465,Transcriptional Driver
NINL,NINL,-1.5347030251454257,6.64514053877385e-47,2.6872300032407417e-44,Downregulated,welch_ttest,9.341115844775842,10.875818869921268,43.57069516019008,Transcriptional Driver
KNG1,KNG1,-8.629444440897373,8.319506048562789e-47,3.2842240544088344e-44,Downregulated,welch_ttest,5.171892181798994,13.801336622696367,43.483567222358275,Transcriptional Driver
AHNAK2,AHNAK2,4.1534074567698855,8.698786532055835e-47,3.317650040442372e-44,Upregulated,welch_ttest,10.809086226228578,6.655678769458692,43.47916942708819,Transcriptional Driver
HADH,HADH,-2.353507848155136,8.804378876927888e-47,3.317650040442372e-44,Downregulated,welch_ttest,10.848611402081396,13.202119250236532,43.47916942708819,Transcriptional Driver
DNASE1,DNASE1,-5.543028464751806,9.26709417346192e-47,3.414409364355525e-44,Downregulated,welch_ttest,2.862136971898048,8.405165436649854,43.466684411158404,Transcriptional Driver
ACAA1,ACAA1,-2.0859778168448795,1.1719051374628508e-46,4.223953734594362e-44,Downregulated,welch_ttest,11.22228630345406,13.30826412029894,43.37428084732093,Transcriptional Driver
LAMA4,LAMA4,3.2140130423955515,1.6120361640829015e-46,5.686714808615853e-44,Upregulated,welch_ttest,11.237441561829963,8.023428519434411,43.245138551271324,Transcriptional Driver
SLC15A4,SLC15A4,2.0120302920481805,1.7128475446866994e-46,5.916460893938641e-44,Upregulated,welch_ttest,11.897363664476343,9.885333372428162,43.22793800169717,Transcriptional Driver
SLC47A2,SLC47A2,-4.721566450913295,1.88280476794523e-46,6.370796541333044e-44,Downregulated,welch_ttest,6.561754361993721,11.283320812907016,43.195806264387,Transcriptional Driver
DANCR,DANCR,-2.1090742624255245,1.9348673611098957e-46,6.416020169440414e-44,Downregulated,welch_ttest,9.312565767953393,11.421640030378917,43.19273427947095,Transcriptional Driver
SLC13A2,SLC13A2,-5.51839282786931,2.925689413433309e-46,9.5113589166126e-44,Downregulated,welch_ttest,5.094388782279485,10.612781610148796,43.02175742966358,Transcriptional Driver
LDHB,LDHB,-1.3240185409130163,3.9909066506254085e-46,1.2724852359109476e-43,Downregulated,welch_ttest,13.955193934098093,15.279212475011109,42.8953472478907,Transcriptional Driver
ALB,ALB,-6.486652600762749,5.185187897091103e-46,1.622083308184349e-43,Downregulated,welch_ttest,6.547645606671441,13.03429820743419,42.7899268447268,Transcriptional Driver
TMPRSS2,TMPRSS2,-5.33343327532828,8.55915054395534e-46,2.627976222569992e-43,Downregulated,welch_ttest,4.342041378507893,9.675474653836172,42.580378568508515,Transcriptional Driver
PLK2,PLK2,2.658673762707183,9.551759181801419e-46,2.8794212224412276e-43,Upregulated,welch_ttest,11.553013059627727,8.894339296920544,42.54069479875487,Transcriptional Driver
RALYL,RALYL,-6.518248328367342,1.3779628273109414e-45,4.0797542280027516e-43,Downregulated,welch_ttest,3.7430092711628067,10.261257599530149,42.389365998830996,Transcriptional Driver
PRDX4,PRDX4,1.5043600110653017,1.865091117943965e-45,5.4251246904405164e-43,Upregulated,welch_ttest,12.847520456892722,11.34316044582742,42.26559027559041,Transcriptional Driver
KDM3A,KDM3A,1.1087970032790313,2.2472819553475708e-45,6.4241266930452974e-43,Upregulated,welch_ttest,11.56608544566068,10.457288442381648,42.19218590273126,Transcriptional Driver
RHBG,RHBG,-4.219811112249978,2.7058570940542293e-45,7.603917054138834e-43,Downregulated,welch_ttest,4.743998836585648,8.963809948835626,42.118962629198265,Transcriptional Driver
PDP2,PDP2,-1.322032790827084,2.792199660007457e-45,7.715778393820606e-43,Downregulated,welch_ttest,8.431656858924908,9.753689649751992,42.11262025429448,Transcriptional Driver
EHD2,EHD2,4.645470926755809,2.9473662341599866e-45,8.01103805940534e-43,Upregulated,welch_ttest,10.900252097747732,6.254781170991922,42.0963112049817,Transcriptional Driver
STAMBPL1,STAMBPL1,2.5730309503718694,3.652355881835069e-45,9.767106535617008e-43,Upregulated,welch_ttest,10.847310631327504,8.274279680955635,42.0102340751482,Transcriptional Driver
PYGL,PYGL,1.8387398801420876,4.0135308520417546e-45,1.0562593893151158e-42,Upregulated,welch_ttest,10.643387321975645,8.804647441833557,41.97622941748877,Transcriptional Driver
MPC1,MPC1,-2.0986017258651604,4.785951236573279e-45,1.239860492224765e-42,Downregulated,welch_ttest,11.218058558140298,13.316660284005458,41.90662717843894,Transcriptional Driver
XPNPEP2,XPNPEP2,-6.040723002857532,5.723426339674329e-45,1.4599139801815443e-42,Downregulated,welch_ttest,5.962649408687651,12.003372411545183,41.83567273259437,Transcriptional Driver
ERP27,ERP27,-2.852770466335425,7.0455254362772e-45,1.7699213899011512e-42,Downregulated,welch_ttest,8.36981969073235,11.222590157067774,41.75204602216378,Transcriptional Driver
SEC61G,SEC61G,1.274413907226453,7.816675915966321e-45,1.9343356221898745e-42,Upregulated,welch_ttest,12.53661678879146,11.262202881565006,41.71346817026378,Transcriptional Driver
NETO2,NETO2,3.5660520673964564,8.646213514123371e-45,2.108150295061257e-42,Upregulated,welch_ttest,11.227634910274311,7.661582842877855,41.67609843046661,Transcriptional Driver
