outer_fold,n_train,n_test,n_selected_genes,selected_genes,fold_accuracy,fold_roc_auc
1,115,29,20,KCNJ1;AQP2;SLC22A8;UMOD;NPHS2;CA9;PDK1;CLDN8;GATA3;EGLN3;ALDH6A1;FXYD4;SCNN1G;HRG;DNASE1;ENPP6;TFAP2B;DMRT2;KCNJ10;KISS1R,0.8620689655172413,0.9095238095238094
2,115,29,20,AQP2;DMRT2;KISS1R;PDK1;HRG;TMEM52B;ANGPTL4;HEPACAM2;CA9;PFKP;C14orf37;CA10;EHD2;ATP6V1G3;TREM2;ATP6V1C2;NELL1;SPAG4;ACPP;IRX2,1.0,1.0
3,114,30,20,EGLN3;CALB1;SCNN1G;CLDN8;KISS1R;HRG;ENPP6;STAMBPL1;TMEM52B;ALDH6A1;HEPACAM2;/PAH;PLG;DNMT3L;ATP6V1G3;BHLHE41;PFKP;/ACY1;RHBG;SLC51B,1.0,1.0
4,116,28,20,CALB1;PDK1;ACPP;KCNJ1;EGLN3;CLDN8;SOX11;HRG;TMEM52B;ENPP6;KISS1R;PFKFB4;TNNT2;FAM169A;ENO2;HEPACAM2;CA10;EHD2;ATP6V1G3;SCD,1.0,1.0
5,116,28,20,KISS1R;NPHS2;AQP2;KCNJ1;EGLN3;TMEM213;ENO2;TGFA;ACPP;HS6ST2;DMRT2;LINC00887;PVALB;FN1;FAM169A;CA10;AHNAK2;ATP6V1G3;PFKP;ATP6V1C2,1.0,1.0
