fpr,tpr
0.0,0.0
0.022727272727272728,0.0
0.09090909090909091,0.0
0.20454545454545456,0.0
0.20454545454545456,0.06930693069306931
0.22727272727272727,0.06930693069306931
0.22727272727272727,0.07920792079207921
0.25,0.07920792079207921
0.25,0.13861386138613863
0.25,0.16831683168316833
0.25,0.18811881188118812
0.2727272727272727,0.18811881188118812
0.2727272727272727,0.19801980198019803
0.45454545454545453,0.19801980198019803
0.5,0.25742574257425743
0.5227272727272727,0.31683168316831684
0.5227272727272727,0.3465346534653465
0.5227272727272727,0.594059405940594
0.5227272727272727,0.693069306930693
0.5227272727272727,0.7326732673267327
0.5454545454545454,0.7821782178217822
0.5681818181818182,0.8118811881188119
0.5681818181818182,0.8811881188118812
0.5681818181818182,0.9405940594059405
0.5681818181818182,0.9603960396039604
0.5681818181818182,0.9702970297029703
0.5909090909090909,0.9801980198019802
0.6136363636363636,0.9801980198019802
0.6590909090909091,1.0
0.8409090909090909,1.0
0.9318181818181818,1.0
1.0,1.0
